No.,Spacecraft - ISS flight number,Country,Launch date (UTC) (yyyy mm dd),Launch time (UTC) (hh:mm:ss),"Duration (Docked) (000 days, 00 h, 00 min)",Deorbit (yyyy mm dd)
072,Progress M-21M - ISS-53P,Russia,2013 11 25,20:53:06,"144 days, 10 h, 28 min",2014 06 09
073,Progress M-21M - ISS-53P,Russia,2013 11 25,20:53:06,"046 days, 01 h, 16 min",2014 06 09
074,Cygnus CRS Orb-1 - CRS Orb-1,United States,2014 01 09,18:07:05,"036 days, 21 h, 20 min",2014 02 19
075,Progress M-22M - ISS-54P,Russia,2014 02 05,16:23:32,"060 days, 15 h, 36 min",2014 04 18
076,Progress M-23M - ISS-55P,Russia,2014 04 09,15:26:27,"103 days, 00 h, 30 min",2014 07 31
077,SpaceX CRS-3 - CRS SpX-3,United States,2014 04 18,19:25:22,"027 days, 21 h, 49 min",2014 05 18
078,Cygnus CRS Orb-2 - CRS Orb-2,United States,2014 07 13,16:52:14,"029 days, 20 h, 21 min",2014 08 17
079,Progress M-24M - ISS-56P,Russia,2014 07 23,21:44:44,"095 days, 02 h, 07 min",2014 11 19
080,Georges Lematre - ATV-5,European Union,2014 07 29,23:47:38,"186 days, 00 h, 12 min",2015 02 15
081,SpaceX CRS-4 - CRS SpX-4,United States,2014 09 21,05:52:03,"031 days, 22 h, 41 min",2014 10 25
082,Progress M-25M - ISS-57P,Russia,2014 10 29,07:09:43,"177 days, 17 h, 33 min",2015 04 26
083,SpaceX CRS-5 - CRS SpX-5,United States,2015 01 10,09:47:10,"029 days, 03 h, 17 min",2015 02 11
084,Progress M-26M - ISS-58P,Russia,2015 02 17,11:00:17,"177 days, 17 h, 22 min",2015 08 14
085,SpaceX CRS-6 - CRS SpX-6,United States,2015 04 14,20:10:41,"033 days, 20 h, 00 min",2015 05 21
086,Progress M-28M - ISS-60P,Russia,2015 07 03,04:55:48,"151 days, 00 h, 24 min",2015 12 19
087,Kounotori 5 - HTV-5,Japan,2015 08 19,11:50:49,"034 days, 23 h, 25 min",2015 09 28
088,Progress M-29M - ISS-61P,Russia,2015 10 01,16:49:48,"171 days, 15 h, 20 min",2016 04 08
089,Cygnus CRS OA-4 - CRS OA-4,United States,2015 12 06,21:44:57,"071 days, 22 h, 11 min",2016 02 20
090,Progress MS-01 - ISS-62P,Russia,2015 12 21,08:44:39,"192 days, 17 h, 21 min",2016 07 03
091,Cygnus CRS OA-6 - CRS OA-6,United States,2016 03 22,03:05:52,"079 days, 20 h, 51 min",2016 06 22
092,Progress MS-02 - ISS-63P,Russia,2016 03 31,16:23:58,"194 days, 15 h, 39 min",2016 10 14
093,SpaceX CRS-8 - CRS SpX-8,United States,2016 04 08,20:43:00,"030 days, 23 h, 22 min",2016 05 11
094,SpaceX CRS-9 - CRS SpX-9,United States,2016 07 18,04:45:29,"036 days, 20 h, 26 min",2016 08 26
095,Cygnus CRS OA-5 - CRS OA-5,United States,2016 10 17,23:45:40,"029 days, 01 h, 07 min",2016 11 28
